store_name,platform,review_count,avg_food_score,avg_price_score,avg_service_score,avg_atmosphere_score,avg_general_score,avg_total_score,positive_ratio,neutral_ratio,negative_ratio
각시보쌈,kakao,41,0.926829268292683,0.1951219512195122,0.0,-0.14634146341463414,0.3170731707317073,1.2926829268292683,0.5853658536585366,0.12195121951219512,0.2926829268292683
각시보쌈,naver,127,1.4409448818897639,0.25196850393700787,0.007874015748031496,-0.007874015748031496,0.84251968503937,2.5354330708661417,0.7322834645669292,0.12598425196850394,0.14173228346456693
굴다리식당,kakao,25,0.4,-0.04,-0.12,-0.04,-0.28,-0.08,0.48,0.08,0.44
굴다리식당,naver,54,0.6851851851851852,0.0,-0.018518518518518517,-0.05555555555555555,0.05555555555555555,0.6666666666666666,0.5370370370370371,0.1111111111111111,0.35185185185185186
금금,kakao,21,0.9047619047619048,-0.09523809523809523,-0.2857142857142857,-0.047619047619047616,0.09523809523809523,0.5714285714285714,0.47619047619047616,0.14285714285714285,0.38095238095238093
금금 성수점,naver,149,2.12751677852349,-0.006711409395973154,0.1476510067114094,0.1476510067114094,1.389261744966443,3.8053691275167787,0.9395973154362416,0.053691275167785234,0.006711409395973154
능동미나리 성수점,kakao,92,1.565217391304348,-0.043478260869565216,0.17391304347826086,0.03260869565217391,0.6630434782608695,2.391304347826087,0.7608695652173914,0.07608695652173914,0.16304347826086957
능동미나리 성수지점,naver,140,1.957142857142857,0.06428571428571428,0.21428571428571427,0.07142857142857142,1.2857142857142858,3.592857142857143,0.8785714285714286,0.06428571428571428,0.05714285714285714
락희옥 마포본점,kakao,20,0.75,-0.35,0.4,0.45,0.95,2.2,0.5,0.2,0.3
락희옥 마포본점,naver,116,2.0258620689655173,0.0,0.47413793103448276,0.4482758620689655,1.9051724137931034,4.853448275862069,0.9827586206896551,0.0,0.017241379310344827
마포양지설렁탕,naver,56,1.4821428571428572,-0.10714285714285714,0.03571428571428571,0.10714285714285714,0.7142857142857143,2.232142857142857,0.75,0.10714285714285714,0.14285714285714285
마포양지설렁탕 도화점,kakao,22,0.6818181818181818,-0.045454545454545456,-0.18181818181818182,0.0,-0.22727272727272727,0.22727272727272727,0.5,0.18181818181818182,0.3181818181818182
보끔당 성수점,kakao,13,1.2307692307692308,0.0,0.6153846153846154,0.38461538461538464,1.2307692307692308,3.4615384615384617,0.9230769230769231,0.07692307692307693,0.0
보끔당 성수점,naver,114,1.868421052631579,0.21929824561403508,0.30701754385964913,0.14035087719298245,1.3421052631578947,3.8771929824561404,0.956140350877193,0.02631578947368421,0.017543859649122806
뼈탄집 성수역점,kakao,96,2.34375,0.0,0.3020833333333333,0.6875,1.9375,5.270833333333333,0.96875,0.020833333333333332,0.010416666666666666
뼈탄집 성수역점,naver,165,2.1151515151515152,0.048484848484848485,0.46060606060606063,0.49696969696969695,1.993939393939394,5.115151515151515,0.9696969696969697,0.012121212121212121,0.01818181818181818
성수족발,kakao,26,0.5384615384615384,-0.07692307692307693,0.11538461538461539,0.0,-0.34615384615384615,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.38461538461538464
성수족발,naver,108,1.1203703703703705,-0.027777777777777776,0.08333333333333333,0.037037037037037035,0.4166666666666667,1.6296296296296295,0.6111111111111112,0.17592592592592593,0.21296296296296297
소문난성수감자탕,kakao,174,0.15517241379310345,-0.005747126436781609,-0.19540229885057472,-0.06321839080459771,-0.6666666666666666,-0.7758620689655172,0.3045977011494253,0.1206896551724138,0.5747126436781609
소문난성수감자탕,naver,153,1.0718954248366013,0.1437908496732026,0.0,0.0,0.24836601307189543,1.4640522875816993,0.6601307189542484,0.13071895424836602,0.20915032679738563
옥동식,naver,143,1.4405594405594406,-0.02097902097902098,0.0,0.14685314685314685,1.0769230769230769,2.6433566433566433,0.7832167832167832,0.0979020979020979,0.11888111888111888
옥동식 서교점,kakao,97,0.8762886597938144,-0.05154639175257732,0.0,0.09278350515463918,0.4329896907216495,1.3505154639175259,0.5876288659793815,0.13402061855670103,0.27835051546391754
원조 조박집 본관,naver,70,1.4857142857142858,0.1,0.37142857142857144,0.0,0.4857142857142857,2.442857142857143,0.7857142857142857,0.07142857142857142,0.14285714285714285
원조조박집 본관,kakao,22,0.9090909090909091,0.045454545454545456,0.36363636363636365,-0.09090909090909091,0.045454545454545456,1.2727272727272727,0.5909090909090909,0.13636363636363635,0.2727272727272727
육산장 홍대본점,kakao,67,1.3582089552238805,0.029850746268656716,0.029850746268656716,0.5522388059701493,1.507462686567164,3.4776119402985075,0.8805970149253731,0.05970149253731343,0.05970149253731343
육산장 홍대본점,naver,109,1.4678899082568808,0.06422018348623854,0.22935779816513763,0.6330275229357798,2.0,4.394495412844036,0.9908256880733946,0.0,0.009174311926605505
육지,kakao,91,1.7582417582417582,-0.02197802197802198,0.3626373626373626,0.26373626373626374,0.6483516483516484,3.010989010989011,0.7802197802197802,0.03296703296703297,0.18681318681318682
을밀대 본점,kakao,107,0.9719626168224299,-0.12149532710280374,-0.037383177570093455,-0.056074766355140186,0.29906542056074764,1.0560747663551402,0.5607476635514018,0.205607476635514,0.2336448598130841
을밀대 평양냉면,naver,139,1.5467625899280575,-0.014388489208633094,0.014388489208633094,0.08633093525179857,0.6546762589928058,2.287769784172662,0.762589928057554,0.08633093525179857,0.1510791366906475
이태리국시 성수,kakao,91,1.5824175824175823,0.02197802197802198,0.2087912087912088,0.5604395604395604,1.5164835164835164,3.89010989010989,0.9560439560439561,0.02197802197802198,0.02197802197802198
이태리국시 성수,naver,183,2.289617486338798,0.07650273224043716,0.22950819672131148,0.5519125683060109,1.814207650273224,4.961748633879782,0.9726775956284153,0.02185792349726776,0.00546448087431694
일등식당,kakao,35,1.6,0.2571428571428571,0.05714285714285714,0.0,0.4,2.3142857142857145,0.7428571428571429,0.11428571428571428,0.14285714285714285
일등식당,naver,68,1.4705882352941178,0.27941176470588236,0.07352941176470588,0.08823529411764706,1.2941176470588236,3.2058823529411766,0.8529411764705882,0.058823529411764705,0.08823529411764706
장인닭갈비 홍대점,kakao,136,1.2647058823529411,0.11029411764705882,0.058823529411764705,0.16911764705882354,1.0294117647058822,2.6323529411764706,0.8014705882352942,0.051470588235294115,0.14705882352941177
장인닭갈비 홍대점,naver,88,1.375,0.2840909090909091,0.4318181818181818,0.20454545454545456,0.5681818181818182,2.8636363636363638,0.8409090909090909,0.07954545454545454,0.07954545454545454
조선시대,naver,126,1.5714285714285714,0.1111111111111111,0.16666666666666666,0.6031746031746031,1.7222222222222223,4.174603174603175,0.9603174603174603,0.03968253968253968,0.0
쭌곱창,kakao,64,1.359375,0.0625,0.375,0.09375,1.34375,3.234375,0.828125,0.078125,0.09375
쭌곱창,naver,116,2.1982758620689653,0.10344827586206896,0.5344827586206896,0.1896551724137931,1.353448275862069,4.379310344827586,0.9741379310344828,0.02586206896551724,0.0
태양곱창 성수,kakao,57,0.2982456140350877,-0.05263157894736842,0.17543859649122806,0.10526315789473684,0.05263157894736842,0.5789473684210527,0.5087719298245614,0.10526315789473684,0.38596491228070173
태양곱창 성수점,naver,111,1.5405405405405406,0.25225225225225223,0.15315315315315314,0.10810810810810811,0.7477477477477478,2.8018018018018016,0.8648648648648649,0.08108108108108109,0.05405405405405406
할머니의 레시피,naver,66,1.4242424242424243,0.07575757575757576,0.3333333333333333,0.15151515151515152,1.1666666666666667,3.1515151515151514,0.7878787878787878,0.045454545454545456,0.16666666666666666
할머니의레시피,kakao,29,0.41379310344827586,0.06896551724137931,-0.6206896551724138,-0.10344827586206896,0.10344827586206896,-0.13793103448275862,0.41379310344827586,0.06896551724137931,0.5172413793103449
홍대 육지,naver,165,2.121212121212121,0.01818181818181818,0.5818181818181818,0.36363636363636365,1.8484848484848484,4.933333333333334,0.9818181818181818,0.012121212121212121,0.006060606060606061
홍대 조선시대,kakao,61,1.5573770491803278,0.13114754098360656,0.3770491803278688,0.6229508196721312,1.6721311475409837,4.360655737704918,0.9836065573770492,0.0,0.01639344262295082
황금콩밭,kakao,44,1.2045454545454546,-0.13636363636363635,0.0,0.06818181818181818,0.4772727272727273,1.6136363636363635,0.7272727272727273,0.09090909090909091,0.18181818181818182
황금콩밭,naver,73,1.5068493150684932,0.0821917808219178,0.0684931506849315,0.0958904109589041,1.1917808219178083,2.9452054794520546,0.821917808219178,0.0684931506849315,0.1095890410958904
훼미리손칼국수보쌈,kakao,51,0.6470588235294118,0.19607843137254902,-0.11764705882352941,0.0,0.37254901960784315,1.0980392156862746,0.6862745098039216,0.0392156862745098,0.27450980392156865
훼미리손칼국수보쌈,naver,147,1.5578231292517006,0.16326530612244897,0.027210884353741496,-0.05442176870748299,0.5170068027210885,2.2108843537414966,0.7414965986394558,0.061224489795918366,0.19727891156462585
